snapshot_dt,company,program,location,year,session,status,target_week
2017-02-08,"ABIOMED , Inc.",HD,BOS,17,A,To Contact,None
2017-02-08,Aetna,HD,BOS,17,A,Emailed Re: Session,None
2017-02-08,Akamai Technologies,HD,BOS,17,A,Emailed Re: Session,4
2017-02-08,Alexion Pharmaceuticals Inc,HD,BOS,17,A,Email/InMail,None
2017-02-08,Aspen Technology,HD,BOS,17,A,Emailed Re: Session,4
2017-02-08,AthenaHealth (Epocrates),HD,BOS,17,A,Emailed Re: Session,None
2017-02-08,Behavior Health Innovators,HD,BOS,17,A,Emailed Re: Session,3
2017-02-08,BetterOutcomes,HD,BOS,17,A,To Contact,None
2017-02-08,Biogen Idec,HD,BOS,17,A,Emailed Re: Session,2
2017-02-08,BitSight Technologies,HD,BOS,17,A,Emailed Re: Session,4
2017-02-08,Booz Allen Hamilton,HD,BOS,17,A,Emailed Re: Session,4
2017-02-08,Broad Institute,HD,BOS,17,A,Emailed Re: Session,1
2017-02-08,Cinch Financial,HD,BOS,17,A,Scheduled,4
2017-02-08,City of Boston,HD,BOS,17,A,Email/InMail,3
2017-02-08,Constant Therapy,HD,BOS,17,A,Not Hiring,2
2017-02-08,CVS Caremark Corporation,HD,BOS,17,A,Emailed Re: Session,None
2017-02-08,CVS Health,HD,BOS,17,A,Scheduled,None
2017-02-08,Cyft,HD,BOS,17,A,Email/InMail,None
2017-02-08,Dana-Farber Cancer Institute,HD,BOS,17,A,Emailed Re: Session,None
2017-02-08,Data Camp,HD,BOS,17,A,Emailed Re: Session,4
2017-02-08,DataRobot - Predictive Analytics,HD,BOS,17,A,Emailed Re: Session,None
2017-02-08,DNAnexus,HD,BOS,17,A,Emailed Re: Session,3
2017-02-08,Drizly,HD,BOS,17,A,Emailed Re: Session,None
2017-02-08,Editas Medicine,HD,BOS,17,A,Emailed Re: Session,None
2017-02-08,Eisai Inc.,HD,BOS,17,A,To Contact,3
2017-02-08,EnerNOC,HD,BOS,17,A,To Contact,None
2017-02-08,Epidemico Inc,HD,BOS,17,A,Emailed Re: Session,None
2017-02-08,FirstFuel Software,HD,BOS,17,A,Emailed Re: Session,4
2017-02-08,Fitbit,HD,BOS,17,A,Email/InMail,2
2017-02-08,Flatiron Health,HD,BOS,17,A,Emailed Re: Session,2
2017-02-08,Foundation Medicine,HD,BOS,17,A,Emailed Re: Session,1
2017-02-08,Gamalon,HD,BOS,17,A,Emailed Re: Session,4
2017-02-08,Gen9 Inc,HD,BOS,17,A,To Contact,None
2017-02-08,General Electric,HD,BOS,17,A,Scheduling,1
2017-02-08,Ginkgo BioWorks,HD,BOS,17,A,Emailed Re: Session,3
2017-02-08,GNS Healthcare,HD,BOS,17,A,Emailed Re: Session,2
2017-02-08,Good Start Genetics,HD,BOS,17,A,Scheduled,None
2017-02-08,Hopper,HD,BOS,17,A,Emailed Re: Session,4
2017-02-08,HubSpot,HD,BOS,17,A,Call Data Teams,None
2017-02-08,Immuneering Corporation,HD,BOS,17,A,Call HR,2
2017-02-08,KAYAK,HD,BOS,17,A,Emailed Re: Session,None
2017-02-08,Legendary Pictures LLC,HD,BOS,17,A,Emailed Re: Session,4
2017-02-08,Massachusetts General Hospital,HD,BOS,17,A,Emailed Re: Session,1
2017-02-08,McKinsey & Company,HD,BOS,17,A,To Contact,None
2017-02-08,Medtronic,HD,BOS,17,A,To Contact,None
2017-02-08,Merck,HD,BOS,17,A,Scheduled,1
